Manufacturer,CPU manufacturer,CPU brand modifier,CPU generation,CPU Speed (GHz),RAM (GB),RAM Type,Bus (MHz),Storage (GB),Screen Size (inch),Screen Resolution,Refresh Rate (Hz),GPU manufacturer,Weight (kg),Battery,Price (VND)
hp,Intel,7,13,5,16,DDR4,3200,512,14,1920x1080,60,Intel,1.53,43,27590000
hp,AMD,7,7,5.1,16,DDR5,5600,512,16.1,1920x1080,144,NVIDIA,2.34,70,31690000
hp,Intel,7,13,5,16,DDR4,3200,512,15.6,1920x1080,60,Intel,1.79,51,26990000
hp,Intel,7,13,5,16,DDR4,3200,512,15.6,1920x1080,60,NVIDIA,1.74,41,26590000
hp,Intel,7,13,5,16,DDR4,3200,512,15.6,1920x1080,60,Intel,1.69,41,25290000
hp,Intel,7,12,4.7,16,DDR4,3200,512,15.6,1920x1080,60,Intel,1.74,41.04,25290000
hp,Intel,7,12,4.7,16,DDR4,3200,512,14,1920x1080,60,Intel,1.41,43,25190000
hp,Intel,7,12,4.7,16,DDR4,3200,512,14,1920x1080,60,Intel,1.51,43,26990000
hp,Intel,7,12,4.7,8,DDR4,3200,512,15.6,1920x1080,60,NVIDIA,1.74,41,24590000
hp,Intel,5,13,4.6,16,DDR4,3200,512,15.6,1920x1080,60,NVIDIA,1.74,41,22290000
hp,Intel,5,13,4.6,16,DDR4,3200,512,15.6,1920x1080,60,Intel,1.79,51,22590000
hp,Intel,5,13,4.6,8,DDR4,3200,512,14,1920x1080,60,Intel,1.53,43,22890000
hp,Intel,5,13,4.6,16,DDR4,3200,512,15.6,1920x1080,60,Intel,1.69,41,21290000
hp,Intel,5,12,4.4,8,DDR4,3200,512,15.6,1920x1080,60,NVIDIA,1.74,41.04,20590000
hp,Intel,7,13,5,16,DDR4,3200,512,14,1920x1080,60,Intel,1.39,41.04,21990000
hp,Intel,5,12,4.4,8,DDR4,3200,512,13.3,1920x1080,60,Intel,1.28,42,22190000
